z_um,width_um
8.486786013009630647e-01,4.419355092201239510e-03
8.524267008105539389e-01,3.748099509590828698e-03
8.561616493218723312e-01,3.734948511318353197e-03
8.605510274533269000e-01,4.389378131454616493e-03
8.644276952222055277e-01,3.876667768878625572e-03
8.681417659558708921e-01,3.714070733665326713e-03
8.720516807018771077e-01,3.909914746006238132e-03
8.764122521992254722e-01,4.360571497348378345e-03
8.801412496948542996e-01,3.728997495628811384e-03
8.838977591344315821e-01,3.756509439577259898e-03
8.883302021268956183e-01,4.432442992464038015e-03
8.921459540551219813e-01,3.815751928226332208e-03
8.958600016505413599e-01,3.714047595419366857e-03
8.999335877252063742e-01,4.073586074665049885e-03
9.041363242490119134e-01,4.202736523805542662e-03
9.078567356633132635e-01,3.720411414301371712e-03
9.116428043831739103e-01,3.786068719860694997e-03
9.160862825417847022e-01,4.443478158610829169e-03
9.198610239304126912e-01,3.774741388627943488e-03
9.235853323595493158e-01,3.724308429136629836e-03
9.278430874848282439e-01,4.257755125278894250e-03
9.318607296601932877e-01,4.017642175365030745e-03
9.355725039378269825e-01,3.711774277633670543e-03
9.394061547559665604e-01,3.833650818139630774e-03
9.438275238494658881e-01,4.421369093499283483e-03
9.475766727959953339e-01,3.749148946529423307e-03
9.513104884510932280e-01,3.733815655097914420e-03
9.556969547593355818e-01,4.386466308242334758e-03
9.595773220656067526e-01,3.880367306271137375e-03
9.632915952269677229e-01,3.714273161360945145e-03
9.671965148894546838e-01,3.904919662486979089e-03
9.715616809921051589e-01,4.365166102650429140e-03
9.752915532163330958e-01,3.729872224227947369e-03
9.790468645360087541e-01,3.755311319675711575e-03
9.834778468203216883e-01,4.430982284312934283e-03
9.872963394597005227e-01,3.818492639378820008e-03
9.910099768532864006e-01,3.713637393585856282e-03
9.950740849571451108e-01,4.064108103858663293e-03
9.992861776118782124e-01,4.212092654733126836e-03
1.003007134663145283e+00,3.720957051267018839e-03
1.006791195034382858e+00,3.784060371237681769e-03
1.011234843193758337e+00,4.443648159375453502e-03
1.015011224815542734e+00,3.776381621784443907e-03
1.018735050017779420e+00,3.723825202236746498e-03
1.022982917668136649e+00,4.247867650357174153e-03
1.027010544761442379e+00,4.027627093305718824e-03
1.030722403296972844e+00,3.711858535530444814e-03
1.034552982145367395e+00,3.830578848394576661e-03
1.038976360512083197e+00,4.423378366715784854e-03
1.042726696192028069e+00,3.750335679944823575e-03
1.046459558559783787e+00,3.732862367755618912e-03
1.050843159049101860e+00,4.383600489318057944e-03
1.054727371794969670e+00,3.884212745867882816e-03
1.058441746320316401e+00,3.714374525346759038e-03
1.062341786949609901e+00,3.900040629293456771e-03
1.066710955582801601e+00,4.369168633191738288e-03
1.070441445731173058e+00,3.730490148371416216e-03
1.074195159329918825e+00,3.753713598745685946e-03
1.078624132554759862e+00,4.428973224840934177e-03
1.082445136857210333e+00,3.821004302450487639e-03
1.086158508986602600e+00,3.713372129392346170e-03
1.090213485762543177e+00,4.054976775940637330e-03
1.094435432434335276e+00,4.221946671792013370e-03
1.098157124562055387e+00,3.721692127720084477e-03
1.101939260208151694e+00,3.782135646096380227e-03
1.106383060991089406e+00,4.443800782937695065e-03
1.110161303846068703e+00,3.778242854979190542e-03
1.113884798904314799e+00,3.723495058245994676e-03
1.118122860092946480e+00,4.238061188631743470e-03
1.122160301053523046e+00,4.037440960576556444e-03
1.125872117142908246e+00,3.711816089385216403e-03
1.129699833659433050e+00,3.827716516524843834e-03
1.134125399832015990e+00,4.425566172583002278e-03
1.137876922359291498e+00,3.751522527275481713e-03
1.141608106058950245e+00,3.731183699658847681e-03
1.145988144221619098e+00,4.380038162668881997e-03
1.149876408187845866e+00,3.888263966226750828e-03
1.153592231017938730e+00,3.715822830092850061e-03
1.157487740170169976e+00,3.895509152231234253e-03
1.161860240992873328e+00,4.372500822703413725e-03
1.165591220786432514e+00,3.730979793559077544e-03
1.169345377920424145e+00,3.754157133991522892e-03
1.173773890168948508e+00,4.428512248524349437e-03
1.177596589663023829e+00,3.822699494075289077e-03
1.181306227290056077e+00,3.709637627032258151e-03
1.185348296134427493e+00,4.042068844371500894e-03
1.189610117458482552e+00,4.261821324055042187e-03
1.193297020436370204e+00,3.686902977887633864e-03
1.197000917196639813e+00,3.703896760269687408e-03
1.201617820999788977e+00,4.616903803149092697e-03
1.205322606652089013e+00,3.704785652300012118e-03
1.208985341993763285e+00,3.662735341674200080e-03
1.213449894616819735e+00,4.464552623056375694e-03
1.217347006079344096e+00,3.897111462524323507e-03
1.221001072138364396e+00,3.654066059020402799e-03
1.224737463096284840e+00,3.736390957920492951e-03
1.229348222511120525e+00,4.610759414835712520e-03
1.233033276170445891e+00,3.685053659325407405e-03
1.236699893062046529e+00,3.666616891600566527e-03
1.241263536757916564e+00,4.563643695870087287e-03
1.245053660885447222e+00,3.790124127530702762e-03
1.248714206478742650e+00,3.660545593295364952e-03
1.252501635420660620e+00,3.787428941918042930e-03
1.257068299216719476e+00,4.566663796058858041e-03
1.260736657432463215e+00,3.668358215743806536e-03
1.264422393781507559e+00,3.685736349044333587e-03
1.269031371986641732e+00,4.608978205134096895e-03
1.272768350036290297e+00,3.736978049648529386e-03
1.276419180293349553e+00,3.650830257059262205e-03
1.280317220515783116e+00,3.898040222433627258e-03
1.284782442926892587e+00,4.465222411109453365e-03
1.288448124294786057e+00,3.665681367893391593e-03
1.292151220415236113e+00,3.703096120450064324e-03
1.296767704448356540e+00,4.616484033120362047e-03
1.300472798336020253e+00,3.705093887663719020e-03
1.304137356222997424e+00,3.664557886977148991e-03
1.308571546463032087e+00,4.434190240034563586e-03
1.312498894863802334e+00,3.927348400770136472e-03
1.316151054465604320e+00,3.652159601801911997e-03
1.319886727493993606e+00,3.735673028389359124e-03
1.324499161825317239e+00,4.612434331323532304e-03
1.328183903475512961e+00,3.684741650195762740e-03
1.331849068594498142e+00,3.665165118985288378e-03
1.336410108818994580e+00,4.561040224496487085e-03
1.340204815099873104e+00,3.794706280878526721e-03
1.343865150943370779e+00,3.660335843497695540e-03
1.347648607032329915e+00,3.783456088959172205e-03
1.352217806339496287e+00,4.569199307166434132e-03
1.355886882664748772e+00,3.669076325252533955e-03
1.359571978668892900e+00,3.685096004144058478e-03
1.364179691263848415e+00,4.607712594955602065e-03
1.367918798213079157e+00,3.739106949230761555e-03
1.371569516295144231e+00,3.650718082065098052e-03
1.375456500756863765e+00,3.886984461719583585e-03
1.379931919983524713e+00,4.475419226660990769e-03
1.383597982543627314e+00,3.666062560102491610e-03
1.387300153412698966e+00,3.702170869071636991e-03
1.391917232906807467e+00,4.617079494108488127e-03
1.395623397731458271e+00,3.706164824650729286e-03
1.399288041905672575e+00,3.664644174214220628e-03
1.403699938754651155e+00,4.411896848978612458e-03
1.407649744298568262e+00,3.949805543917004128e-03
1.411301939731647304e+00,3.652195433079110775e-03
1.415036115861437738e+00,3.734176129790404627e-03
1.419648633254648962e+00,4.612517393211248290e-03
1.423333080262372263e+00,3.684447007723217014e-03
1.426997549815693267e+00,3.664469553320970699e-03
1.431555783180979091e+00,4.558233365285779132e-03
1.435355022921010137e+00,3.799239740031093090e-03
1.439015146106279008e+00,3.660123185268761205e-03
1.442795383902738982e+00,3.780237796459888153e-03
1.447367777562254210e+00,4.572393659515320077e-03
1.451037809740805207e+00,3.670032178550911191e-03
1.454721733990915755e+00,3.683924250110471709e-03
1.459327351010994089e+00,4.605617020078339383e-03
1.463068402857599759e+00,3.741051846605680971e-03
1.466719720772715618e+00,3.651317915115905206e-03
1.470598104470903111e+00,3.878383698187415005e-03
1.475082745177519694e+00,4.484640706616555006e-03
1.478748687064939116e+00,3.665941887419464119e-03
1.482449234374935365e+00,3.700547309996328298e-03
1.487066225710244050e+00,4.616991335308730411e-03
