z_um,width_um
8.880525283813454074e-01,3.964520215988158805e-03
8.920170485973335506e-01,3.964520215988158805e-03
8.959815688133216938e-01,3.964520215988158805e-03
8.999460890293098370e-01,3.964520215988158805e-03
9.039106092452979802e-01,3.964520215988158805e-03
9.078751294612861233e-01,3.964520215988158805e-03
9.118396496772742665e-01,3.964520215988158805e-03
9.158041698932624097e-01,3.964520215988158805e-03
9.197686901092505529e-01,3.964520215988158805e-03
9.237332103252386961e-01,3.964520215988158805e-03
9.276977305412268393e-01,3.964520215988158805e-03
9.316622507572149825e-01,3.964520215988158805e-03
9.356267709732031257e-01,3.964520215988158805e-03
9.395912911891912689e-01,3.964520215988158805e-03
9.435558114051794121e-01,3.964520215988158805e-03
9.475203316211675553e-01,3.964520215988158805e-03
9.514848518371556985e-01,3.964520215988158805e-03
9.554493720531438417e-01,3.964520215988158805e-03
9.594138922691319848e-01,3.964520215988158805e-03
9.633784124851201280e-01,3.964520215988158805e-03
9.673429327011082712e-01,3.964520215988158805e-03
9.713074529170964144e-01,3.964520215988158805e-03
9.752719731330845576e-01,3.964520215988158805e-03
9.792364933490727008e-01,3.964520215988158805e-03
9.832010135650608440e-01,3.964520215988158805e-03
9.871655337810489872e-01,3.964520215988158805e-03
9.911300539970371304e-01,3.964520215988158805e-03
9.950945742130252736e-01,3.964520215988158805e-03
9.990590944290134168e-01,3.964520215988158805e-03
1.003023614645001560e+00,3.964520215988158805e-03
1.006988134860989703e+00,3.964520215988158805e-03
1.010952655076977846e+00,3.964520215988158805e-03
1.014917175292965990e+00,3.964520215988158805e-03
1.018881695508954133e+00,3.964520215988158805e-03
1.022846215724942276e+00,3.964520215988158805e-03
1.026810735940930419e+00,3.964520215988158805e-03
1.030775256156918562e+00,3.964520215988158805e-03
1.034739776372906706e+00,3.964520215988158805e-03
1.038704296588894849e+00,3.964520215988158805e-03
1.042668816804882992e+00,3.964520215988158805e-03
1.046633337020871135e+00,3.964520215988158805e-03
1.050597857236859278e+00,3.964520215988158805e-03
1.054562377452847421e+00,3.964520215988158805e-03
1.058526897668835565e+00,3.964520215988158805e-03
1.062491417884823708e+00,3.964520215988158805e-03
1.066455938100811851e+00,3.964520215988158805e-03
1.070420458316799994e+00,3.964520215988158805e-03
1.074384978532788137e+00,3.964520215988158805e-03
1.078349498748776281e+00,3.964520215988158805e-03
1.082314018964764424e+00,3.964520215988158805e-03
1.086278539180752567e+00,3.964520215988158805e-03
1.090243059396740710e+00,3.964520215988158805e-03
1.094207579612728853e+00,3.964520215988158805e-03
