z_um,fw_amp,sh_amp,th_amp
6.343232345581054643e-01,3.160864581694954989e+00,9.452563703435004627e-02,1.139996826788342603e-05
6.382877547740936075e-01,3.160846757951587982e+00,9.511978035438542478e-02,1.151540068885525156e-05
6.422522749900817507e-01,3.160828822629762946e+00,9.571391695743960981e-02,1.157364421914242862e-05
6.462167952060698939e-01,3.160810775732606714e+00,9.630804679888968489e-02,1.160858954808242722e-05
6.501813154220581481e-01,3.160792617263193716e+00,9.690216982937041590e-02,1.171281280306184767e-05
6.541458356380462913e-01,3.160774347224831526e+00,9.749628601354745627e-02,1.180446506422513598e-05
6.581103558540344345e-01,3.160755965620809960e+00,9.809039531358448860e-02,1.183339792575050344e-05
6.620748760700225777e-01,3.160737472454240748e+00,9.868449767891196434e-02,1.190725222859966316e-05
6.660393962860107209e-01,3.160718867728397274e+00,9.927859306804576178e-02,1.202062536115640690e-05
6.700039165019988641e-01,3.160700151446696804e+00,9.987268144754585242e-02,1.206868025412691339e-05
6.739684367179870073e-01,3.160681323612370974e+00,1.004667627707358096e-01,1.211090087496997041e-05
6.779329569339752615e-01,3.160662384228648758e+00,1.010608369897388337e-01,1.222151912528642719e-05
6.818974771499634047e-01,3.160643333298999824e+00,1.016549040705394674e-01,1.230256319831861088e-05
6.858619973659515479e-01,3.160624170826821455e+00,1.022489639731663097e-01,1.233052863671354484e-05
6.898265175819396910e-01,3.160604896815353726e+00,1.028430166468688733e-01,1.241547246690454377e-05
6.937910377979278342e-01,3.160585511268042769e+00,1.034370620524268508e-01,1.252402896477251639e-05
6.977555580139159774e-01,3.160566014188435524e+00,1.040311001554467402e-01,1.256345566437932271e-05
7.017200782299041206e-01,3.160546405579867546e+00,1.046251309075166003e-01,1.261491058719380928e-05
7.056845984458923748e-01,3.160526685445733452e+00,1.052191542626453730e-01,1.272934035138572417e-05
7.096491186618805180e-01,3.160506853789659676e+00,1.058131701876149494e-01,1.279915725484072461e-05
7.136136388778686612e-01,3.160486910615140754e+00,1.064071786401922237e-01,1.282905437094037258e-05
7.175781590938568044e-01,3.160466855925557539e+00,1.070011795700343965e-01,1.292420509315456701e-05
7.215426793098449476e-01,3.160446689724530245e+00,1.075951729400086293e-01,1.302550674995412404e-05
7.255071995258330908e-01,3.160426412015723052e+00,1.081891587142721350e-01,1.305843701162837128e-05
7.294717197418212340e-01,3.160406022802581205e+00,1.087831368431111806e-01,1.312047064421307010e-05
7.334362399578094882e-01,3.160385522088672072e+00,1.093771072826938417e-01,1.323587727468151098e-05
7.374007601737976314e-01,3.160364909877767747e+00,1.099710700000255531e-01,1.329458816955815778e-05
7.413652803897857746e-01,3.160344186173463576e+00,1.105650249506364147e-01,1.332918958549465117e-05
7.453298006057739178e-01,3.160323350979286516e+00,1.111589720851533791e-01,1.343298580375700799e-05
7.492943208217620610e-01,3.160302404299028645e+00,1.117529113682174946e-01,1.352507372396569716e-05
7.532588410377502042e-01,3.160281346136462055e+00,1.123468427621379107e-01,1.355407064577287150e-05
7.572233612537384584e-01,3.160260176495151896e+00,1.129407662164202825e-01,1.362732273266306315e-05
7.611878814697266016e-01,3.160238895378840063e+00,1.135346816895226735e-01,1.374080836353599457e-05
7.651524016857147448e-01,3.160217502791437205e+00,1.141285891480868508e-01,1.378926717428243126e-05
7.691169219017028880e-01,3.160195998736635037e+00,1.147224885455798565e-01,1.383103402260585574e-05
7.730814421176910312e-01,3.160174383218120386e+00,1.153163798340976348e-01,1.394134037137446803e-05
7.770459623336791743e-01,3.160152656239851865e+00,1.159102629796246592e-01,1.402286356276625204e-05
7.810104825496673175e-01,3.160130817805701042e+00,1.165041379423467222e-01,1.405075250544424441e-05
7.849750027656555718e-01,3.160108867919360076e+00,1.170980046715630329e-01,1.413511545634575349e-05
7.889395229816437149e-01,3.160086806584751606e+00,1.176918631280016447e-01,1.424391048709611340e-05
7.929040431976318581e-01,3.160064633805910628e+00,1.182857132773784542e-01,1.428364844327395205e-05
7.968685634136200013e-01,3.160042349586630550e+00,1.188795550714092514e-01,1.433456578119823727e-05
8.008330836296081445e-01,3.160019953930766068e+00,1.194733884640614141e-01,1.444881562669388958e-05
8.047976038455962877e-01,3.159997446842432112e+00,1.200672134221446169e-01,1.451911977387142504e-05
