wavelength_um,target_amp,holographic_amp,periodic_amp,phase_rad
1.063234234234234243e+00,4.417696973074309181e-05,3.783771995093329903e-05,8.129135291510193595e-03,-2.928318130694289589e+00
1.063236236236236198e+00,4.433023047976362188e-05,4.147427793617622003e-05,7.919714962175609593e-03,-2.832500003834980351e+00
1.063238238238238154e+00,4.432409077186593300e-05,4.579269672861712652e-05,7.706635838229583708e-03,-2.762572303502040416e+00
1.063240240240240109e+00,4.415855723474411914e-05,5.058938448220600764e-05,7.489944477758655669e-03,-2.714823311863270305e+00
1.063242242242242286e+00,4.383410666452499163e-05,5.570706902348238505e-05,7.269688735739647002e-03,-2.685035360540970029e+00
1.063244244244244241e+00,4.335168505253620140e-05,6.102777045673249455e-05,7.045917750087695580e-03,-2.669444611612559193e+00
1.063246246246246196e+00,4.271270528461720102e-05,6.646298647150193921e-05,6.818681937396452175e-03,-2.664999133863869218e+00
1.063248248248248151e+00,4.191904352273314997e-05,7.194526464169858661e-05,6.588032985007563971e-03,-2.669323308014469820e+00
1.063250250250250106e+00,4.097303421713380798e-05,7.742196550412862224e-05,6.354023839454075138e-03,-2.680595857896387546e+00
1.063252252252252283e+00,3.987746383706680951e-05,8.285090965965914353e-05,6.116708700862955560e-03,-2.697423613639749806e+00
1.063254254254254239e+00,3.863556331250934185e-05,8.819740537372710849e-05,5.876143010343245696e-03,-2.718736070364709434e+00
1.063256256256256194e+00,3.725099919027064762e-05,9.343222765409907261e-05,5.632383442239831048e-03,-2.743704065660693026e+00
1.063258258258258149e+00,3.572786357527404677e-05,9.853023882079551686e-05,5.385487893395578436e-03,-2.771679114790487120e+00
1.063260260260260104e+00,3.407066283356182502e-05,1.034694394394062856e-04,5.135515472662810152e-03,-2.802148719426838852e+00
1.063262262262262281e+00,3.228430515856149695e-05,1.082303092301580260e-04,4.882526490036231959e-03,-2.834703510903244350e+00
1.063264264264264236e+00,3.037408694890417966e-05,1.127953450636651076e-04,4.626582445438049904e-03,-2.869013006968044177e+00
1.063266266266266191e+00,2.834567813165639962e-05,1.171487343223248949e-04,4.367746016806598255e-03,-2.904807604258980103e+00
1.063268268268268146e+00,2.620510643776677699e-05,1.212761222811600874e-04,4.106081049140807016e-03,-2.941865089845723258e+00
1.063270270270270323e+00,2.395874063228874067e-05,1.251644455605954004e-04,3.841652541601600027e-03,-2.980000443492615059e+00
1.063272272272272279e+00,2.161327282744051814e-05,1.288018124473584150e-04,3.574526633240239504e-03,-3.019058052059540032e+00
1.063274274274274234e+00,1.917569990182407032e-05,1.321774166829190226e-04,3.304770594613644190e-03,-3.058905704159359473e+00
1.063276276276276189e+00,1.665330403408939278e-05,1.352814756053454253e-04,3.032452808549608927e-03,-3.099429911579276720e+00
1.063278278278278144e+00,1.405363251420147399e-05,1.381051857032501609e-04,2.757642761484329838e-03,-3.140532222963213993e+00
1.063280280280280321e+00,1.138447676786999020e-05,1.406406910568397991e-04,2.480411026105382253e-03,-3.182126288587165952e+00
1.063282282282282276e+00,8.653850776294947473e-06,1.428810610547007133e-04,2.200829250100621703e-03,-3.224135493498667238e+00
1.063284284284284231e+00,5.869968875803410309e-06,1.448202749661663038e-04,1.918970137745571120e-03,-3.266491025371502488e+00
1.063286286286286186e+00,3.041223022310136106e-06,1.464532113773792251e-04,1.634907438368988358e-03,-3.309130272213825830e+00
1.063288288288288141e+00,1.761596332953555738e-07,1.477756412618713494e-04,1.348715929301496762e-03,-3.351995472664727416e+00
1.063290290290290319e+00,2.716543984471233702e-06,1.487842235731786104e-04,1.060471400974893159e-03,-3.395032555717013345e+00
1.063292292292292274e+00,5.628103536053351714e-06,1.494765027009898608e-04,7.702506392001515689e-04,-3.438190121430535484e+00
1.063294294294294229e+00,8.549651802350217560e-06,1.498509072292093834e-04,4.781314124521072648e-04,-3.481418520700668040e+00
1.063296296296296184e+00,1.147226299404260116e-05,1.499067497070287415e-04,1.841924514207056809e-04,-3.524669001975306859e+00
1.063298298298298139e+00,1.438697708945352163e-05,1.496442272251113860e-04,1.114865654221959443e-04,-3.567892892425822193e+00
1.063300300300300316e+00,1.728482423249165509e-05,1.490644227647575765e-04,4.088250292871356811e-04,-3.611040787074676572e+00
1.063302302302302271e+00,2.015684909880853857e-05,1.481693073904004571e-04,7.077414193284058868e-04,-3.654061718337302533e+00
1.063304304304304226e+00,2.299413510710316880e-05,1.469617435231297339e-04,1.008153320377557297e-03,-3.696902277516791901e+00
