domain_index,structure_z_um,structure_width_um
378,8.089576076659337559e+03,3.964506776113012165e+00
379,8.093540583435450571e+03,1.982253388056960830e+00
380,8.095522836823507532e+03,7.929013552226933825e+00
381,8.103451850375734466e+03,1.982253388056960830e+00
382,8.105434103763791427e+03,3.964506776113012165e+00
383,8.109398610539904439e+03,1.982253388056960830e+00
384,8.111380863927961400e+03,1.585802710445386765e+01
385,8.127238891032415268e+03,1.982253388056960830e+00
386,8.129221144420472228e+03,3.964506776113012165e+00
387,8.133185651196585241e+03,1.982253388056960830e+00
388,8.135167904584642201e+03,7.929013552226933825e+00
389,8.143096918136869135e+03,1.982253388056960830e+00
390,8.145079171524926096e+03,3.964506776113012165e+00
391,8.149043678301039108e+03,1.982253388056960830e+00
392,8.151025931689096069e+03,7.929013552226933825e+00
393,8.158954945241323003e+03,1.982253388056960830e+00
394,8.160937198629379964e+03,3.964506776113012165e+00
395,8.164901705405492976e+03,1.982253388056960830e+00
396,8.166883958793549937e+03,7.929013552226933825e+00
397,8.174812972345776870e+03,1.982253388056960830e+00
398,8.176795225733833831e+03,3.964506776113012165e+00
399,8.180759732509946843e+03,1.982253388056960830e+00
400,8.182741985898003804e+03,7.929013552226933825e+00
401,8.190670999450230738e+03,1.982253388056051335e+00
402,8.192653252838286789e+03,3.964506776113921660e+00
403,8.196617759614400711e+03,1.982253388056051335e+00
404,8.198600013002456762e+03,1.585802710445204866e+01
405,8.214458040106908811e+03,1.982253388056051335e+00
406,8.216440293494964862e+03,3.964506776113921660e+00
407,8.220404800271078784e+03,1.982253388056051335e+00
408,8.222387053659134835e+03,7.929013552226024331e+00
409,8.230316067211360860e+03,1.982253388056051335e+00
410,8.232298320599416911e+03,3.964506776113921660e+00
411,8.236262827375530833e+03,1.982253388056051335e+00
412,8.238245080763586884e+03,7.929013552226024331e+00
413,8.246174094315812908e+03,1.982253388056051335e+00
414,8.248156347703868960e+03,3.964506776113921660e+00
415,8.252120854479982881e+03,1.982253388056051335e+00
416,8.254103107868038933e+03,7.929013552226024331e+00
417,8.262032121420264957e+03,1.982253388056051335e+00
418,8.264014374808321008e+03,3.964506776113921660e+00
419,8.267978881584434930e+03,1.982253388056051335e+00
420,8.269961134972490981e+03,7.929013552226024331e+00
421,8.277890148524717006e+03,1.982253388056051335e+00
422,8.279872401912773057e+03,3.964506776113921660e+00
423,8.283836908688886979e+03,1.982253388056051335e+00
424,8.285819162076943030e+03,7.929013552226024331e+00
425,8.293748175629169054e+03,1.982253388056051335e+00
426,8.295730429017225106e+03,3.964506776113921660e+00
427,8.299694935793339027e+03,1.982253388056051335e+00
428,8.301677189181395079e+03,7.929013552226024331e+00
429,8.309606202733621103e+03,1.982253388056051335e+00
430,8.311588456121677154e+03,3.964506776113921660e+00
431,8.315552962897791076e+03,1.982253388056051335e+00
432,8.317535216285847127e+03,7.929013552226024331e+00
433,8.325464229838073152e+03,1.982253388056051335e+00
434,8.327446483226129203e+03,3.964506776113921660e+00
435,8.331410990002243125e+03,1.982253388056051335e+00
436,8.333393243390299176e+03,7.929013552226024331e+00
437,8.341322256942525200e+03,1.982253388056051335e+00
438,8.343304510330581252e+03,3.964506776113921660e+00
439,8.347269017106695173e+03,1.982253388056051335e+00
440,8.349251270494751225e+03,7.929013552226024331e+00
441,8.357180284046977249e+03,1.982253388056051335e+00
442,8.359162537435033300e+03,3.964506776113921660e+00
443,8.363127044211147222e+03,1.982253388056051335e+00
444,8.365109297599203273e+03,7.929013552226024331e+00
445,8.373038311151429298e+03,1.982253388056051335e+00
446,8.375020564539485349e+03,3.964506776113921660e+00
447,8.378985071315599271e+03,1.982253388056051335e+00
448,8.380967324703655322e+03,7.929013552226024331e+00
449,8.388896338255881346e+03,1.982253388056051335e+00
450,8.390878591643937398e+03,3.964506776113921660e+00
451,8.394843098420051319e+03,1.982253388056051335e+00
452,8.396825351808107371e+03,7.929013552226024331e+00
453,8.404754365360333395e+03,1.982253388056051335e+00
454,8.406736618748389446e+03,3.964506776113921660e+00
455,8.410701125524503368e+03,1.982253388056051335e+00
456,8.412683378912559419e+03,7.929013552226024331e+00
457,8.420612392464785444e+03,1.982253388056051335e+00
458,8.422594645852841495e+03,3.964506776113921660e+00
459,8.426559152628955417e+03,1.982253388056051335e+00
460,8.428541406017011468e+03,7.929013552226024331e+00
461,8.436470419569237492e+03,1.982253388056051335e+00
462,8.438452672957293544e+03,3.964506776113921660e+00
463,8.442417179733407465e+03,1.982253388056051335e+00
464,8.444399433121463517e+03,7.929013552226024331e+00
465,8.452328446673689541e+03,1.982253388056051335e+00
466,8.454310700061745592e+03,3.964506776113921660e+00
467,8.458275206837859514e+03,1.982253388056051335e+00
468,8.460257460225915565e+03,7.929013552226024331e+00
469,8.468186473778141590e+03,1.982253388056051335e+00
470,8.470168727166197641e+03,3.964506776113921660e+00
471,8.474133233942311563e+03,1.982253388056051335e+00
472,8.476115487330367614e+03,7.929013552226024331e+00
473,8.484044500882593638e+03,1.982253388056051335e+00
474,8.486026754270649690e+03,3.964506776113921660e+00
475,8.489991261046763611e+03,1.982253388056051335e+00
476,8.491973514434819663e+03,7.929013552226024331e+00
